ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M
09,Ciudad de México,009,Milpa Alta,0074,San Agustín Xolco," 99°00'31.428"" W","19°10'38.166"" N",2613,38,18,20,1,1,0,37,17,20,37,17,20,32,15,17,31,15,16,30,15,15,1,1,0,4,1,3,4,1,3,1,0,1,1,0,1,9,5,4,11,3,0,3
09,Ciudad de México,009,Milpa Alta,0077,San Marcos (Tezocotitla)," 99°01'34.080"" W","19°10'10.506"" N",2740,195,106,89,5,1,4,190,105,85,181,101,80,151,84,67,141,74,67,135,72,63,13,6,7,26,15,11,33,24,9,10,10,0,6,2,4,32,16,16,50,22,9,13
09,Ciudad de México,009,Milpa Alta,0081,Cuyucalco," 99°03'35.539"" W","19°10'59.396"" N",2672,120,58,62,4,4,0,116,54,62,111,52,59,94,45,49,89,43,46,84,40,44,7,3,4,15,6,9,17,7,10,5,2,3,5,3,2,20,8,12,35,5,2,3
09,Ciudad de México,009,Milpa Alta,0082,Iztahuaca," 99°03'32.147"" W","19°11'07.147"" N",2651,84,45,39,4,2,2,80,43,37,78,42,36,70,37,33,62,33,29,56,30,26,3,2,1,7,4,3,13,7,6,8,4,4,6,3,3,10,6,4,26,4,1,3
09,Ciudad de México,009,Milpa Alta,0083,Tzotzomaco," 99°02'20.738"" W","19°11'53.233"" N",2494,25,14,11,2,1,1,23,13,10,22,12,10,20,12,8,19,11,8,15,9,6,1,1,0,2,0,2,2,1,1,1,1,0,4,2,2,1,1,0,8,2,1,1
09,Ciudad de México,009,Milpa Alta,0084,Tlatepexco," 99°04'39.925"" W","19°11'44.300"" N",2628,156,90,66,11,5,6,145,85,60,137,80,57,116,67,49,112,64,48,103,60,43,10,7,3,19,11,8,16,9,7,4,3,1,9,4,5,18,9,9,45,11,6,5
09,Ciudad de México,009,Milpa Alta,0088,San Paocotitla," 99°03'03.366"" W","19°11'11.690"" N",2589,197,84,113,7,4,3,190,80,110,184,77,107,164,71,93,150,66,84,140,60,80,8,5,3,18,4,14,24,8,16,14,5,9,10,6,4,35,17,18,55,16,6,10
09,Ciudad de México,009,Milpa Alta,0090,Tlacopac," 99°02'26.803"" W","19°10'22.082"" N",2719,110,57,53,5,3,2,105,54,51,100,50,50,81,38,43,78,37,41,68,35,33,7,5,2,17,11,6,14,6,8,3,1,2,10,2,8,6,3,3,30,4,2,2
09,Ciudad de México,009,Milpa Alta,0092,Tecolotzitzatzian (Tiapa)," 99°02'36.190"" W","19°09'50.620"" N",2823,15,6,9,0,0,0,15,6,9,14,6,8,11,4,7,10,3,7,10,3,7,2,0,2,2,2,0,2,2,0,1,1,0,0,0,0,1,0,1,2,1,0,1
09,Ciudad de México,009,Milpa Alta,0095,Tepetlapa," 99°00'35.488"" W","19°11'07.803"" N",2453,225,112,113,12,3,9,213,109,104,205,105,100,189,93,96,176,85,91,163,78,85,11,7,4,13,9,4,21,14,7,13,8,5,13,7,6,36,16,20,63,21,10,11
09,Ciudad de México,009,Milpa Alta,0096,Tequianquiztunco," 99°04'19.828"" W","19°09'58.707"" N",2915,18,10,8,0,0,0,18,10,8,17,10,7,13,7,6,12,6,6,12,6,6,1,0,1,4,3,1,4,3,1,1,1,0,0,0,0,1,0,1,5,0,0,0
09,Ciudad de México,009,Milpa Alta,0098,Tetexipezco," 99°02'12.275"" W","19°12'07.675"" N",2451,35,16,19,2,0,2,33,16,17,31,14,17,27,12,15,22,10,12,22,10,12,3,2,1,3,2,1,8,4,4,5,2,3,0,0,0,3,2,1,8,2,1,1
09,Ciudad de México,009,Milpa Alta,0099,Tetlicuili (El Encinal)," 98°58'59.856"" W","19°09'48.505"" N",2693,15,5,10,0,0,0,15,5,10,15,5,10,11,4,7,11,4,7,10,4,6,0,0,0,4,1,3,3,1,2,0,0,0,1,0,1,1,0,1,2,4,2,2
09,Ciudad de México,009,Milpa Alta,0101,Texcalatlautenco," 99°03'31.951"" W","19°12'06.170"" N",2492,40,21,19,1,0,1,39,21,18,39,21,18,31,18,13,26,15,11,23,13,10,0,0,0,8,3,5,11,6,5,5,3,2,3,2,1,6,3,3,14,0,0,0
09,Ciudad de México,009,Milpa Alta,0103,Tezompa," 99°03'10.804"" W","19°11'19.897"" N",2573,226,121,105,17,12,5,209,109,100,197,105,92,167,87,80,159,85,74,152,80,72,19,8,11,23,14,9,27,14,13,8,2,6,7,5,2,35,23,12,67,14,7,7
09,Ciudad de México,009,Milpa Alta,0104,Teziuhtepec," 99°04'15.763"" W","19°10'18.954"" N",2851,138,65,73,7,2,5,131,63,68,128,61,67,110,55,55,104,51,53,98,47,51,7,4,3,14,4,10,15,6,9,6,4,2,6,4,2,13,6,7,38,12,6,6
09,Ciudad de México,009,Milpa Alta,0105,Tetzumpa," 99°04'13.182"" W","19°10'04.220"" N",2889,18,9,9,3,1,2,15,8,7,15,8,7,14,7,7,14,7,7,13,7,6,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,4,3,1,6,1,0,1
09,Ciudad de México,009,Milpa Alta,0109,Tlaxala," 99°02'14.696"" W","19°12'10.063"" N",2448,69,31,38,1,1,0,68,30,38,67,30,37,56,23,33,49,19,30,46,18,28,2,0,2,10,7,3,16,10,6,7,4,3,3,1,2,8,2,6,14,7,4,3
09,Ciudad de México,009,Milpa Alta,0112,Tetepanco," 99°03'16.575"" W","19°12'21.055"" N",2543,153,67,86,8,4,4,145,63,82,141,63,78,117,53,64,107,48,59,95,45,50,6,1,5,22,9,13,19,9,10,10,5,5,12,3,9,24,8,16,37,5,3,2
09,Ciudad de México,009,Milpa Alta,0113,Copexalco," 99°03'39.451"" W","19°12'50.202"" N",2577,69,39,30,1,0,1,68,39,29,64,36,28,59,32,27,56,30,26,54,29,25,4,3,1,5,4,1,7,5,2,3,2,1,2,1,1,6,5,1,21,15,7,8
09,Ciudad de México,009,Milpa Alta,0115,San José," 99°03'36.406"" W","19°12'23.663"" N",2585,313,153,160,13,5,8,300,148,152,288,141,147,249,123,126,234,118,116,214,109,105,17,11,6,34,14,20,39,17,22,15,5,10,20,9,11,40,13,27,90,28,15,13
09,Ciudad de México,009,Milpa Alta,0116,Hueytepetl (Bugambilias)," 98°59'24.396"" W","19°11'21.536"" N",2460,249,126,123,6,2,4,243,124,119,237,120,117,200,98,102,187,93,94,172,88,84,8,6,2,35,20,15,36,18,18,13,5,8,15,5,10,37,14,23,74,19,11,8
09,Ciudad de México,009,Milpa Alta,0117,Ocoximalipa," 99°04'09.447"" W","19°10'26.042"" N",2831,144,72,72,6,2,4,138,70,68,133,66,67,113,59,54,106,57,49,97,53,44,8,5,3,17,6,11,22,8,14,7,2,5,9,4,5,12,7,5,45,11,5,6
09,Ciudad de México,009,Milpa Alta,0120,Corralixpa," 99°04'35.631"" W","19°10'35.203"" N",2857,245,118,127,5,1,4,240,117,123,235,115,120,205,99,106,188,92,96,165,81,84,8,4,4,27,14,13,34,16,18,17,7,10,23,11,12,32,15,17,64,18,6,12
09,Ciudad de México,009,Milpa Alta,0126,Coyocalli," 99°02'11.411"" W","19°11'50.848"" N",2473,44,24,20,2,2,0,42,22,20,39,20,19,28,15,13,27,14,13,27,14,13,3,2,1,11,5,6,8,6,2,1,1,0,0,0,0,4,1,3,11,1,1,0
09,Ciudad de México,009,Milpa Alta,0129,Tlapalan," 99°00'37.517"" W","19°10'47.170"" N",2568,36,17,19,2,2,0,34,15,19,31,14,17,24,10,14,23,10,13,21,9,12,8,3,5,2,2,0,2,1,1,1,0,1,2,1,1,4,2,2,9,0,0,0
09,Ciudad de México,009,Milpa Alta,0131,Texalco," 99°02'07.909"" W","19°11'34.456"" N",2470,157,79,78,4,4,0,153,75,78,149,74,75,121,62,59,107,51,56,93,44,49,9,3,6,23,10,13,28,18,10,14,11,3,14,7,7,16,5,11,42,6,3,3
09,Ciudad de México,009,Milpa Alta,0134,Queapilco," 99°06'03.759"" W","19°11'24.832"" N",2779,59,28,31,1,0,1,58,28,30,55,27,28,51,25,26,47,22,25,45,22,23,4,2,2,3,1,2,7,4,3,4,3,1,2,0,2,12,5,7,15,4,3,1
09,Ciudad de México,009,Milpa Alta,0138,Barranca Seca (Pozo Ocho)," 98°59'50.805"" W","19°12'26.720"" N",2281,265,140,125,16,7,9,249,133,116,237,125,112,200,104,96,188,99,89,177,93,84,17,11,6,32,18,14,35,17,18,12,5,7,11,6,5,29,14,15,69,19,12,7
